id,date,amount,category,description
0,2026-01-1,40400,utilities,system module result output
1,2026-01-2,40100,rent,start start report user
2,2026-01-3,16300,transport,start system load data
3,2026-01-4,10400,food,class read module user
4,2026-01-5,8600,services,type the report read
5,2026-01-6,33000,transport,result check save system
6,2026-01-7,42300,food,output stop success status
7,2026-01-8,17900,rent,stop list error value
8,2026-01-9,37300,utilities,report file input success
9,2026-01-10,41300,utilities,result report type write
10,2026-01-11,41900,transport,value write success result
11,2026-01-12,7400,rent,list write list list
12,2026-01-13,27200,food,the file config stop
13,2026-01-14,23100,rent,network mode start type
14,2026-01-15,22900,transport,path output input read
15,2026-01-16,2400,services,config the result check
16,2026-01-17,47100,transport,user input save load
17,2026-01-18,16400,services,list value success read
18,2026-01-19,40600,food,run write start load
19,2026-01-20,3200,transport,result file process function
20,2026-01-21,42000,food,file error stop module
21,2026-01-22,38800,food,success type read list
22,2026-01-23,44000,utilities,function type function config
23,2026-01-24,2000,utilities,success error report input
24,2026-01-25,45200,food,function output network read
25,2026-01-26,36800,food,user value name name
26,2026-01-27,11400,utilities,run input error check
27,2026-01-28,10600,transport,run the write path
28,2026-01-1,17900,transport,report error name data
29,2026-01-2,25600,rent,run file save check
30,2026-01-3,3000,utilities,report report save load
31,2026-01-4,24700,services,path list start user
32,2026-01-5,36500,services,report data check path
33,2026-01-6,42700,rent,check function class user
34,2026-01-7,49800,food,run output config process
35,2026-01-8,36500,food,output path type output
36,2026-01-9,24400,food,read user input path
37,2026-01-10,8900,food,result path mode start
38,2026-01-11,44800,food,save type read output
39,2026-01-12,27700,services,data start user value
40,2026-01-13,26800,food,config load report function
41,2026-01-14,5500,food,status write list result
42,2026-01-15,49100,services,write module config network
43,2026-01-16,16400,services,success start class input
44,2026-01-17,8100,transport,report type file save
45,2026-01-18,2100,utilities,result read input function
46,2026-01-19,3500,utilities,check report function status
47,2026-01-20,4400,food,type name save input
48,2026-01-21,17500,utilities,system name config path
49,2026-01-22,16600,food,path process run stop
50,2026-01-23,7500,transport,type stop check process
51,2026-01-24,8100,rent,stop success read success
52,2026-01-25,8400,utilities,start system success stop
53,2026-01-26,49700,transport,process file function input
54,2026-01-27,13300,services,system check file input
55,2026-01-28,5400,services,name name value network
56,2026-01-1,39200,transport,data process list status
57,2026-01-2,18600,food,user config list class
58,2026-01-3,21000,food,load stop process user
59,2026-01-4,5800,transport,module function status input
60,2026-01-5,7500,utilities,function start function status
61,2026-01-6,11700,rent,start save module save
62,2026-01-7,34100,utilities,output load class data
63,2026-01-8,24600,rent,mode stop user success
64,2026-01-9,16800,food,start check result process
65,2026-01-10,22800,services,report class success output
66,2026-01-11,17100,utilities,write list config read
67,2026-01-12,7800,services,stop data the success
68,2026-01-13,5100,utilities,data system list system
69,2026-01-14,14600,transport,run run write report
70,2026-01-15,200,services,data save the result
71,2026-01-16,31700,transport,run stop list function
72,2026-01-17,41300,transport,config module status module
73,2026-01-18,42800,food,system class config system
